date,no_words,een_jaar_geleden,twee_jaar_geleden,drie_jaar_geleden,vier_jaar_geleden,vijf_jaar_geleden,zes_jaar_geleden,zeven_jaar_geleden,acht_jaar_geleden,negen_jaar_geleden,tien_jaar_geleden,honderd_jaar_geleden
1910,8825561,2.266144894358557e-07,0.0,3.399217341537835e-07,1.1330724471792785e-07,0.0,0.0,0.0,0.0,1.1330724471792785e-07,1.1330724471792785e-07,1.1330724471792785e-07
1911,7247180,5.519388231008475e-07,4.1395411732563565e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3798470577521188e-07,0.0
1912,9845812,2.0313205249094742e-07,3.046980787364211e-07,0.0,1.0156602624547371e-07,0.0,1.0156602624547371e-07,1.0156602624547371e-07,0.0,0.0,1.0156602624547371e-07,3.046980787364211e-07
1913,10973501,5.467717185244709e-07,1.8225723950815696e-07,9.112861975407848e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.6451447901631393e-07,0.0
1914,6113102,8.179153562299467e-07,0.0,0.0,3.271661424919787e-07,0.0,0.0,0.0,0.0,1.6358307124598936e-07,3.271661424919787e-07,3.271661424919787e-07
1915,12179989,2.0525470096894175e-06,4.926112823254602e-07,2.463056411627301e-07,8.210188038757671e-08,2.463056411627301e-07,8.210188038757671e-08,0.0,0.0,8.210188038757671e-08,8.210188038757671e-08,3.2840752155030684e-07
1916,11504785,8.692035531302845e-07,3.476814212521138e-07,8.692035531302845e-08,8.692035531302845e-08,8.692035531302845e-08,0.0,0.0,0.0,0.0,0.0,8.692035531302845e-08
1917,12229648,4.906110134976902e-07,3.2707400899846016e-07,4.0884251124807515e-07,1.6353700449923008e-07,0.0,0.0,8.176850224961504e-08,0.0,0.0,4.906110134976902e-07,0.0
1918,7077003,8.478165121591725e-07,7.065137601326437e-07,0.0,1.4130275202652873e-07,0.0,0.0,1.4130275202652873e-07,0.0,0.0,4.239082560795862e-07,1.4130275202652873e-07
1919,14706856,8.159459778486985e-07,2.0398649446217464e-07,1.3599099630811644e-07,6.799549815405822e-08,2.719819926162329e-07,0.0,6.799549815405822e-08,0.0,6.799549815405822e-08,5.439639852324658e-07,1.3599099630811644e-07
1920,14396618,9.029898549784401e-07,4.862253065268524e-07,2.0838227422579387e-07,6.946075807526462e-08,2.0838227422579387e-07,6.946075807526462e-08,1.3892151615052924e-07,0.0,0.0,2.0838227422579387e-07,1.3892151615052924e-07
1921,13076526,1.2235665650035797e-06,6.117832825017899e-07,3.0589164125089494e-07,1.5294582062544747e-07,1.5294582062544747e-07,7.647291031272373e-08,0.0,1.5294582062544747e-07,2.294187309381712e-07,5.353103721890661e-07,7.647291031272373e-08
1922,10098721,1.2872917273385412e-06,9.902244056450317e-08,0.0,1.9804488112900634e-07,0.0,0.0,0.0,1.9804488112900634e-07,0.0,5.94134643387019e-07,9.902244056450317e-08
1923,8709283,1.1482001446043262e-06,1.1482001446043262e-07,1.1482001446043262e-07,3.4446004338129786e-07,0.0,1.1482001446043262e-07,1.1482001446043262e-07,0.0,1.1482001446043262e-07,3.4446004338129786e-07,0.0
1924,12841678,2.336143298406953e-06,7.008429895220858e-07,3.1148577312092704e-07,3.893572164011588e-07,7.787144328023176e-08,7.787144328023176e-08,1.5574288656046352e-07,7.787144328023176e-08,0.0,5.451001029616223e-07,1.5574288656046352e-07
1925,7781864,7.710234977121163e-07,5.140156651414108e-07,2.570078325707054e-07,1.285039162853527e-07,2.570078325707054e-07,2.570078325707054e-07,0.0,0.0,0.0,3.8551174885605814e-07,0.0
1926,20440829,1.2230423726943755e-06,1.1741206777866006e-06,5.381386439855252e-07,3.4245186435442515e-07,2.446084745388751e-07,1.956867796311001e-07,4.8921694907775025e-08,1.4676508472332507e-07,4.8921694907775025e-08,4.892169490777502e-07,2.9353016944665015e-07
1927,9441957,2.2241151913739915e-06,9.531922248745679e-07,9.531922248745679e-07,3.1773074162485596e-07,1.0591024720828532e-07,2.1182049441657064e-07,1.0591024720828532e-07,0.0,0.0,4.236409888331413e-07,0.0
1928,11697284,1.3678388931994811e-06,6.839194465997406e-07,1.7097986164993514e-07,3.419597232998703e-07,2.5646979247490274e-07,8.548993082496757e-08,8.548993082496757e-08,2.5646979247490274e-07,2.5646979247490274e-07,8.548993082496758e-07,5.129395849498055e-07
1929,4218325,1.4223655123775433e-06,7.111827561887717e-07,0.0,0.0,0.0,0.0,2.3706091872959053e-07,0.0,0.0,2.3706091872959053e-07,0.0
1930,16344069,1.7131596789024814e-06,5.506584682186548e-07,4.2828991972562036e-07,6.118427424651719e-08,1.8355282273955158e-07,3.0592137123258596e-07,0.0,1.8355282273955158e-07,0.0,7.342112909582063e-07,6.118427424651719e-07
1931,15955554,3.196379141708273e-06,1.1281338147205668e-06,5.640669073602834e-07,3.7604460490685565e-07,1.2534820163561853e-07,1.2534820163561853e-07,6.267410081780927e-08,6.267410081780927e-08,1.2534820163561853e-07,5.013928065424741e-07,1.8802230245342783e-07
1932,17115869,1.577483445333684e-06,1.168506255802729e-06,4.674025023210916e-07,3.505518767408187e-07,1.7527593837040936e-07,5.842531279013645e-08,1.168506255802729e-07,1.168506255802729e-07,1.7527593837040936e-07,9.348050046421832e-07,3.505518767408187e-07
1933,18600660,2.5267920600666857e-06,1.1827537302439806e-06,2.68807665964541e-07,5.376153319290821e-08,3.7633073235035743e-07,2.1504613277163283e-07,1.6128459957872463e-07,2.1504613277163283e-07,0.0,1.1289921970510724e-06,3.2256919915744925e-07
1934,22342701,2.730198108098032e-06,1.074176304825455e-06,4.475734603439396e-07,1.3427203810318188e-07,1.7902938413757586e-07,4.4757346034393964e-08,2.237867301719698e-07,1.3427203810318188e-07,8.951469206878793e-08,7.161175365503034e-07,3.1330142224075774e-07
1935,15992669,3.12643249228756e-06,1.1880443470692728e-06,2.501145993830048e-07,3.751718990745072e-07,6.25286498457512e-07,1.250572996915024e-07,3.12643249228756e-07,6.25286498457512e-08,6.25286498457512e-08,5.002291987660096e-07,3.12643249228756e-07
1936,18810572,3.7213116113640778e-06,1.6480094278898057e-06,4.784543500325242e-07,1.0632318889611651e-07,6.37939133376699e-07,2.6580797224029125e-07,2.6580797224029125e-07,1.5948478334417475e-07,1.5948478334417475e-07,1.0100702945131068e-06,4.784543500325242e-07
1937,20021695,4.245394807982042e-06,1.298591353029801e-06,5.993498552445235e-07,1.9978328508150785e-07,2.497291063518848e-07,4.994582127037696e-08,1.4983746381113088e-07,9.989164254075392e-08,4.994582127037696e-08,1.298591353029801e-06,1.9978328508150785e-07
1938,22829602,5.738163985513195e-06,1.5330972480378765e-06,3.942250066383111e-07,5.256333421844148e-07,2.628166710922074e-07,2.628166710922074e-07,4.38027785153679e-08,1.314083355461037e-07,4.38027785153679e-08,8.760555703073579e-07,4.3802778515367896e-07
1939,21546674,5.708537661079385e-06,1.3459153835065218e-06,2.3205437646664168e-07,4.17697877639955e-07,4.6410875293328336e-07,1.8564350117331335e-07,1.8564350117331335e-07,9.282175058665668e-08,4.641087529332834e-08,1.253093632919865e-06,5.105196282266117e-07
1940,18118850,2.9251304580588725e-06,1.1590139550799306e-06,5.5191140718091933e-08,2.2076456287236773e-07,2.7595570359045965e-07,1.655734221542758e-07,1.1038228143618387e-07,5.5191140718091933e-08,0.0,7.174848293351951e-07,7.726759700532871e-07
1941,9273105,2.2646136326505524e-06,6.470324664715864e-07,2.1567748882386213e-07,1.0783874441193106e-07,2.1567748882386213e-07,1.0783874441193106e-07,1.0783874441193106e-07,0.0,0.0,1.0783874441193106e-06,2.1567748882386213e-07
1942,5718746,1.9234986131575e-06,1.2240445720093182e-06,6.994540411481818e-07,1.7486351028704546e-07,1.7486351028704546e-07,0.0,1.7486351028704546e-07,0.0,0.0,1.9234986131575e-06,8.743175514352272e-07
1943,2754193,7.261655228954543e-07,3.6308276144772717e-07,3.6308276144772717e-07,3.6308276144772717e-07,0.0,0.0,0.0,0.0,0.0,1.4523310457909087e-06,7.261655228954543e-07
1944,2641957,7.57014591834765e-07,1.1355218877521473e-06,1.51402918366953e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.785072959173825e-07,0.0
1945,259766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1949,2350056,2.1276088740013006e-06,1.2765653244007802e-06,4.255217748002601e-07,4.255217748002601e-07,0.0,0.0,8.510435496005202e-07,0.0,0.0,2.1276088740013006e-06,4.255217748002601e-07
1950,8204804,1.9500770524195337e-06,1.0969183419859878e-06,4.875192631048834e-07,3.656394473286626e-07,4.875192631048834e-07,3.656394473286626e-07,2.437596315524417e-07,0.0,1.2187981577622085e-07,8.53158710433546e-07,1.2187981577622085e-07
1951,5480224,1.459794344172793e-06,1.459794344172793e-06,5.474228790647973e-07,1.8247429302159913e-07,3.6494858604319826e-07,1.8247429302159913e-07,1.8247429302159913e-07,1.8247429302159913e-07,1.8247429302159913e-07,1.8247429302159913e-07,0.0
1952,4698068,8.514138152108484e-07,2.341387991829833e-06,8.514138152108484e-07,1.2771207228162725e-06,0.0,0.0,0.0,0.0,0.0,1.4899741766189846e-06,4.257069076054242e-07
1953,9949475,2.1106641305194494e-06,1.6081250518243425e-06,1.005078157390214e-06,7.035547101731498e-07,1.005078157390214e-07,4.020312629560856e-07,2.010156314780428e-07,0.0,2.010156314780428e-07,8.040625259121712e-07,4.020312629560856e-07
1954,9624859,1.9740548926482976e-06,1.5584643889328664e-06,7.272833815020043e-07,4.1559050371543103e-07,4.1559050371543103e-07,2.0779525185771551e-07,3.116928777865733e-07,0.0,0.0,9.350786333597199e-07,1.0389762592885776e-07
1955,8899279,2.0226357663356773e-06,2.0226357663356773e-06,6.742119221118924e-07,7.865805757972079e-07,7.865805757972079e-07,1.1236865368531541e-07,1.1236865368531541e-07,2.2473730737063082e-07,2.2473730737063082e-07,2.0226357663356773e-06,3.371059610559462e-07
1956,8996497,2.111933122414202e-06,2.111933122414202e-06,5.557718743195268e-07,6.669262491834321e-07,3.3346312459171607e-07,0.0,2.2230874972781073e-07,1.1115437486390536e-07,0.0,1.0003893737751483e-06,8.892349989112429e-07
1957,9404057,2.5520900181698175e-06,1.2760450090849087e-06,1.1697079249944996e-06,7.443595886328635e-07,7.443595886328635e-07,3.190112522712272e-07,2.1267416818081812e-07,3.190112522712272e-07,0.0,1.0633708409040907e-06,4.2534833636163625e-07
1958,9476134,2.849263212191807e-06,3.1658480135464525e-06,1.266339205418581e-06,7.386978698275056e-07,8.442261369457207e-07,1.0552826711821509e-07,2.1105653423643017e-07,2.1105653423643017e-07,0.0,1.5829240067732263e-06,5.276413355910754e-07
1959,9335653,3.3206032829197917e-06,2.4636734034566194e-06,1.928092228792137e-06,8.56929879463172e-07,1.285394819194758e-06,2.14232469865793e-07,2.14232469865793e-07,3.213487047986895e-07,1.071162349328965e-07,8.56929879463172e-07,6.42697409597379e-07
1960,9729147,2.9807340766872987e-06,3.597437678760533e-06,4.1113573471548947e-07,1.2334072041464683e-06,8.222714694309789e-07,7.194875357521065e-07,3.083518010366171e-07,2.0556786735774473e-07,3.083518010366171e-07,1.952894739898575e-06,5.139196683943618e-07
1961,9295673,3.0121541495704506e-06,4.195500422615985e-06,1.8288078765249164e-06,1.1833462730455342e-06,7.530385373926126e-07,5.378846695661519e-07,2.1515386782646076e-07,6.454616034793823e-07,1.0757693391323038e-07,2.3666925460910683e-06,1.0757693391323038e-07
