jaar,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980
acht jaar geleden,0.06407115609327715,0.038522228256657944,0.029630618780162737,0.0884248760115231,0.13200807992943503,0.12306940713356065,0.1554860198154015,0.43948570284339006,0.47373445405451103,0.5329476850832052
veertig jaar geleden,0.05125692487462172,0.06420371376109657,0.029630618780162737,0.09726736361267542,0.3273800382249989,0.36920822140068194,0.2750906504426334,0.3531581540705813,0.298452706054342,0.3137916276658124
half jaar geleden,0.05125692487462172,0.05136297100887726,0.059261237560325475,0.1680072644218939,0.17425066550685422,0.07384164428013638,0.310972039630803,0.5572050875335838,0.6348041684330448,0.687353089172732
bet jaar geleden,0.05125692487462172,,0.019753745853441824,0.035369950404609246,,,,,,
vijftien jaar geleden,0.03844269365596629,0.02568148550443863,0.029630618780162737,0.10610985121382772,0.13728840312661242,0.04922776285342426,0.13156509368995511,0.31391835917385,0.4832091431356013,0.46321621226858023
eea jaar geleden,0.03844269365596629,0.038522228256657944,0.019753745853441824,0.035369950404609246,0.015840969591532205,,,,,
vijftig jaar geleden,0.03844269365596629,0.05136297100887726,0.03950749170688365,0.15032228921958926,0.3273800382249989,0.3938221028273941,0.22724879819174065,0.34531019509123506,0.22739253794616532,0.273945071771741
zestig jaar geleden,0.03844269365596629,0.012840742752219315,0.009876872926720912,0.06189741320806617,0.06336387836612882,0.14768328856027277,0.10764416756450873,0.09417550775215502,0.12790830259471797,0.0747122923013839
100 jaar geleden,0.03844269365596629,,0.029630618780162737,0.035369950404609246,0.05808355516895142,0.04922776285342426,0.1435255567526783,0.20404693346300254,0.0900095462703571,0.13946294562924996
hst jaar geleden,0.03844269365596629,,,,,,,,,
geen jaar geleden,0.02562846243731086,0.012840742752219315,0.019753745853441824,0.04421243800576155,0.05808355516895142,0.12306940713356065,0.02392092612544638,0.05493571285542376,0.10422157989199242,0.0547890143543482
juist jaar geleden,0.02562846243731086,0.05136297100887726,0.009876872926720912,0.05305492560691386,0.08448517115483842,0.04922776285342426,0.05980231531361596,0.015695917958692504,0.00947468908109022,
heden jaar geleden,0.02562846243731086,0.038522228256657944,0.009876872926720912,0.008842487601152312,0.015840969591532205,,0.01196046306272319,,,
vijf jaar geleden,0.02562846243731086,0.07704445651331589,0.11852247512065095,0.18569223962419854,0.41714553257701464,0.2215249328404092,0.6458650053870524,0.8240356928313565,1.326456471352631,1.4793033875674013
zal jaar geleden,0.02562846243731086,0.012840742752219315,0.009876872926720912,0.008842487601152312,0.010560646394354802,,,,,
