date	twee_pertrigrams	drie_pertrigrams	vier_pertrigrams	vijf_pertrigrams	zes_pertrigrams	zeven_pertrigrams	acht_pertrigrams	negen_pertrigrams	tien_pertrigrams	elf_pertrigrams	twaalf_pertrigrams	dertien_pertrigrams	veertien_pertrigrams	vijftien_pertrigrams	zestien_pertrigrams	zeventien_pertrigrams	achttien_pertrigrams	negentien_pertrigrams	twintig_pertrigrams	dertig_pertrigrams	veertig_pertrigrams	vijftig_pertrigrams	zestig_pertrigrams	zeventig_pertrigrams	tachtig_pertrigrams	negentig_pertrigrams	honderd_pertrigrams	honderdtien_pertrigrams	honderdtwintig_pertrigrams	honderddertig_pertrigrams	honderdveertig_pertrigrams	honderdvijftig_pertrigrams	honderdzestig_pertrigrams	honderdzeventig_pertrigrams	honderdtachtig_pertrigrams	honderdnegentig_pertrigrams	tweehonderd_pertrigrams
1953-12-31	1.3808340237503452e-05	8.28500414250207e-06	4.142502071251035e-06	6.904170118751726e-06	2.0712510356255176e-06	3.452085059375863e-06	2.7616680475006905e-06	2.0712510356255176e-06	2.7616680475006905e-06	1.3808340237503452e-06	0.0	0.0	2.0712510356255176e-06	0.0	0.0	0.0	0.0	0.0	2.7616680475006905e-06	4.142502071251035e-06	3.452085059375863e-06	3.452085059375863e-06	0.0	1.3808340237503452e-06	0.0	0.0	5.523336095001381e-06	0.0	6.904170118751726e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1954-12-31	9.350668033302763e-06	5.754257251263239e-06	3.5964107820395246e-06	1.4385643128158098e-06	4.3156929384474295e-06	2.1578464692237148e-06	7.192821564079049e-07	7.192821564079049e-07	8.631385876894859e-06	0.0	0.0	0.0	1.4385643128158098e-06	0.0	7.192821564079049e-07	0.0	7.192821564079049e-07	0.0	5.0349750948553344e-06	2.8771286256316197e-06	3.5964107820395246e-06	7.192821564079049e-07	0.0	0.0	7.192821564079049e-07	0.0	2.8771286256316197e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1955-12-31	1.2572560313160291e-05	7.395623713623701e-07	4.4373742281742205e-06	1.109343557043555e-05	7.395623713623701e-07	2.9582494854494803e-06	0.0	0.0	1.2572560313160291e-05	0.0	0.0	0.0	2.2186871140871102e-06	1.4791247427247402e-06	0.0	0.0	0.0	0.0	2.9582494854494803e-06	7.395623713623701e-07	2.2186871140871102e-06	3.69781185681185e-06	0.0	7.395623713623701e-07	0.0	0.0	1.4791247427247402e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1956-12-31	8.18898997742072e-06	7.4445363431097465e-06	5.955629074487797e-06	1.2655711783286569e-05	5.211175440176822e-06	2.233360902932924e-06	1.4889072686219493e-06	1.4889072686219493e-06	8.933443611731696e-06	0.0	2.233360902932924e-06	0.0	0.0	7.444536343109747e-07	0.0	0.0	0.0	0.0	2.9778145372438987e-06	2.9778145372438987e-06	0.0	4.466721805865848e-06	2.233360902932924e-06	0.0	0.0	0.0	2.233360902932924e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4889072686219493e-06
1957-12-31	1.7952792772349253e-05	4.308670265363821e-06	4.308670265363821e-06	5.744893687151761e-06	4.308670265363821e-06	4.308670265363821e-06	2.1543351326819105e-06	1.4362234217879402e-06	7.181117108939701e-06	7.181117108939701e-07	7.181117108939701e-07	0.0	7.181117108939701e-07	7.181117108939701e-07	0.0	1.4362234217879402e-06	0.0	0.0	3.5905585544698506e-06	2.1543351326819105e-06	2.8724468435758803e-06	7.181117108939701e-07	1.4362234217879402e-06	7.181117108939701e-07	0.0	0.0	2.8724468435758803e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1958-12-31	1.936918162338133e-05	6.456393874460443e-06	5.0216396801359e-06	8.608525165947257e-06	1.4347541943245429e-06	2.152131291486814e-06	1.4347541943245429e-06	1.4347541943245429e-06	1.00432793602718e-05	0.0	0.0	0.0	1.4347541943245429e-06	7.173770971622714e-07	0.0	0.0	7.173770971622714e-07	0.0	6.456393874460443e-06	6.456393874460443e-06	1.4347541943245429e-06	4.304262582973628e-06	0.0	0.0	7.173770971622714e-07	0.0	2.152131291486814e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1959-12-31	2.3700349510448368e-05	9.061898342230259e-06	4.182414619490888e-06	1.1850174755224184e-05	2.788276412993926e-06	4.182414619490888e-06	1.394138206496963e-06	6.970691032484815e-07	1.3244312961721148e-05	6.970691032484815e-07	2.091207309745444e-06	0.0	6.970691032484815e-07	1.394138206496963e-06	0.0	6.970691032484815e-07	0.0	0.0	6.970691032484814e-06	4.87948372273937e-06	4.182414619490888e-06	1.394138206496963e-06	6.970691032484815e-07	0.0	6.970691032484815e-07	0.0	6.273621929236333e-06	0.0	0.0	0.0	0.0	1.394138206496963e-06	0.0	0.0	0.0	0.0	0.0
1960-12-31	2.4564506393790094e-05	1.052764559733861e-05	7.720273438048316e-06	1.89497620752095e-05	8.422116477870889e-06	4.211058238935444e-06	4.211058238935444e-06	7.018430398225741e-07	1.754607599556435e-05	1.4036860796451482e-06	2.8073721592902963e-06	2.8073721592902963e-06	1.4036860796451482e-06	6.316587358403166e-06	0.0	0.0	0.0	0.0	7.018430398225741e-07	1.4036860796451482e-06	2.8073721592902963e-06	5.614744318580593e-06	1.4036860796451482e-06	7.018430398225741e-07	7.018430398225741e-07	0.0	2.105529119467722e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1961-12-31	1.7519769965420353e-05	8.029894567484329e-06	1.2409837058839417e-05	8.029894567484329e-06	5.8399233218067845e-06	1.4599808304516961e-06	5.109932906580936e-06	7.299904152258481e-07	1.4599808304516961e-05	0.0	0.0	0.0	0.0	1.4599808304516961e-06	0.0	0.0	0.0	0.0	2.9199616609033922e-06	4.379942491355088e-06	0.0	7.299904152258481e-07	7.299904152258481e-07	0.0	0.0	0.0	3.6499520761292403e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1962-12-31	2.3221648091162384e-05	9.43379453703472e-06	7.256765028488245e-06	1.0159471039883543e-05	5.0797355199417715e-06	4.354059017092947e-06	4.71689726851736e-06	1.0885147542732367e-06	1.0522309291307955e-05	0.0	0.0	0.0	7.256765028488245e-07	3.6283825142441226e-07	0.0	0.0	3.6283825142441226e-07	0.0	2.1770295085464734e-06	3.6283825142441227e-06	1.8141912571220613e-06	2.1770295085464734e-06	1.0885147542732367e-06	7.256765028488245e-07	0.0	0.0	5.0797355199417715e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
